term,sector,n_obs,Coefficient,Odds_Ratio,Lower_CI,Upper_CI,P_Value
Intercept,Materials,15,2.495853220526448,12.132080443920476,0.5732511826045089,256.7589572672605,0.10900915136911621
has_profit_targets,Materials,15,-17.932508974198466,1.6293346963571267e-08,0.0,inf,0.9933101760317659
has_pyramiding,Materials,15,-2.5963399982414432,0.07454591771873234,0.0029985792566747252,1.8532422767075882,0.11327145692905276
trades,Materials,15,-0.009364212674305341,0.9906794950293921,0.9761577321625985,1.005417290192823,0.21391063101379282
Intercept,Real_Estate,34,-36.05878425689299,2.1871016744998874e-16,0.0,inf,0.9996152733537701
C(asset_type)[T.Stock],Real_Estate,34,35.45739364072751,2505823055940569.5,0.0,inf,0.9996216898478864
has_profit_targets,Real_Estate,34,12.296124364623598,218846.17497412415,2.434782319439023e-133,1.9670607889020954e+143,0.9395229027683413
has_pyramiding,Real_Estate,34,1.8017633131544644,6.060324297900854,0.42216464581658913,86.99812018764797,0.18499343802479562
trades,Real_Estate,34,-0.002462691025214866,0.9975403389105524,0.9367457001426331,1.0622805395341162,0.9388137121447052
Intercept,Technology,51,-0.49612714331835855,0.6088842205909506,0.061173391340546085,6.060478027460949,0.6721768545269573
C(asset_type)[T.Stock],Technology,51,1.2619001464085147,3.5321266727426024,0.5982297344493674,20.854728733574266,0.16366138174397638
has_profit_targets,Technology,51,12.099434806864979,179770.22863603884,5.4885286781277e-127,5.888160015021921e+136,0.937580873786031
